Id;Nombre;Apellido;Documento;IdTipoDocumento;Celular;IdGenero;IdEstadoCivil;Correo;IdProvincia;SucursalPreferido
25;Samantha Allison;Medina Zapata;40286682995;1;8295935841;2;3;SamanthaAllisonMedinaZapata@gmail.com;3;6
26;Mariana ;Camacho ;40275608739;1;8293479566;2;6;MarianaCamacho@gmail.com;11;9
27;Eduardo ;Lara ;40233776681;1;8496751731;1;2;EduardoLara@gmail.com;11;8
28;Joaquín Ángel;Montilla ;40249663412;1;8494261972;1;6;JoaquínÁngelMontilla@gmail.com;32;10
29;Santino Santiago;Lorenzo ;40233092513;1;8494049747;1;3;SantinoSantiagoLorenzo@gmail.com;19;7
30;Enzo ;Morillo Nivar;40241598536;1;8292673242;1;1;EnzoMorilloNivar@gmail.com;18;8
31;Fernando Cristian;Nuez ;40237465360;1;8296704693;1;4;FernandoCristianNuez@gmail.com;28;12
32;Valentino ;Dominguez Fermin;62614745629;2;8299373362;1;4;ValentinoDominguezFermin@gmail.com;3;3
33;Luciano ;Gutierrez Tineo;40259484660;1;8493964687;1;4;LucianoGutierrezTineo@gmail.com;9;14
34;Elizabeth ;Pinales Cruz;40281512874;1;8292892489;2;1;ElizabethPinalesCruz@gmail.com;31;4
35;Bruno Leonardo;Castellanos ;40268466426;1;8299673233;1;2;BrunoLeonardoCastellanos@gmail.com;32;1
36;Eduardo ;Lara Guillen;40284852686;1;8298646466;1;4;EduardoLaraGuillen@gmail.com;10;10
37;Ximena Isabella;Heredia Hernandez;40297402031;1;8495743764;2;3;XimenaIsabellaHerediaHernandez@gmail.com;4;2
38;Renata Mariana;Robles ;40244111923;1;8298923473;2;2;RenataMarianaRobles@gmail.com;23;9
39;Fernando David;Rondon ;62649324117;2;8493878168;1;4;FernandoDavidRondon@gmail.com;29;1
40;Romina Juliana;Troncoso Castellanos;40245621925;1;8492236867;2;3;RominaJulianaTroncosoCastellanos@gmail.com;5;5
41;Santiago Matías;Ureña ;40266291673;1;8293592924;1;4;SantiagoMatíasUreña@gmail.com;19;8
42;Juan Bruno;Oviedo Contreras;40210531009;1;8297590037;1;1;JuanBrunoOviedoContreras@gmail.com;2;11
43;Mateo ;Encarnacion ;40212647282;1;8293101324;1;6;MateoEncarnacion@gmail.com;4;10
44;Adriana ;Santos ;40273747064;1;8498030891;2;1;AdrianaSantos@gmail.com;2;11
45;Julia ;Abreu Nunez;40268038043;1;8295053275;2;6;JuliaAbreuNunez@gmail.com;9;14
46;Manuel ;Matias Gomez;40245048321;1;8295353270;1;5;ManuelMatiasGomez@gmail.com;15;1
47;Antonio Lorenzo;Abad ;40293433163;1;8495479681;1;1;AntonioLorenzoAbad@gmail.com;30;3
48;Nicolás ;Ventura Lebron;40285624161;1;8296972387;1;6;NicolásVenturaLebron@gmail.com;20;13
49;Christopher Santiago;Rincon ;40266201989;1;8497422487;1;6;ChristopherSantiagoRincon@gmail.com;8;7
50;Oliver Bruno;Urbaez ;40247068552;1;8297773687;1;2;OliverBrunoUrbaez@gmail.com;25;14
51;Carla ;Vizcaino ;40234590283;1;8497556381;2;2;CarlaVizcaino@gmail.com;5;10
52;Iker Cristian;Baez Lluberes;40232805714;1;8491950645;1;6;IkerCristianBaezLluberes@gmail.com;13;3
53;Mateo ;Abreu Pineda;40216170659;1;8491043316;1;3;MateoAbreuPineda@gmail.com;4;8
54;Elizabeth María;Rosado ;40248490433;1;8297672730;2;2;ElizabethMaríaRosado@gmail.com;9;5
55;Bianca Matilda;Inoa Velez;40280414066;1;8498061219;2;6;BiancaMatildaInoaVelez@gmail.com;24;12
56;Alexander Iker;Piña ;40231364091;1;8491630468;1;6;AlexanderIkerPiña@gmail.com;26;4
57;Emily ;Abreu ;40269062615;1;8293383077;2;3;EmilyAbreu@gmail.com;9;9
58;Ian ;Payano ;40265501772;1;8492451774;1;3;IanPayano@gmail.com;7;12
59;Carlos ;Soto ;40246681868;1;8292735292;1;1;CarlosSoto@gmail.com;23;4
60;Tomás ;Ventura Polanco;40253326420;1;8499429269;1;5;TomásVenturaPolanco@gmail.com;17;6
61;Jerónimo Emilio;Monegro ;40288690368;1;8297339914;1;2;JerónimoEmilioMonegro@gmail.com;19;1
62;Marc ;Mojica ;40214049473;1;8296443987;1;3;MarcMojica@gmail.com;7;10
63;Danna ;Balbuena Marte;40262187108;1;8496292012;2;6;DannaBalbuenaMarte@gmail.com;2;11
64;Amelia ;Andujar Encarnacion;40282556280;1;8498961172;2;1;AmeliaAndujarEncarnacion@gmail.com;19;6
65;Ángel Rafael;Rosa Ferreras;40268620413;1;8492895799;1;3;ÁngelRafaelRosaFerreras@gmail.com;5;2
66;Juan Juan;Marrero Beato;40261869535;1;8297491252;1;2;JuanJuanMarreroBeato@gmail.com;27;1
67;Lorenzo ;Rosario Leon;40292023987;1;8492255444;1;4;LorenzoRosarioLeon@gmail.com;24;8
68;Miguel ;Then Casado;40254298839;1;8498964247;1;4;MiguelThenCasado@gmail.com;8;8
69;Nicolás Benjamín;Bello Olivo;40283165407;1;8493822820;1;3;NicolásBenjamínBelloOlivo@gmail.com;9;1
70;Adriana Clara;Ferreira ;40270376579;1;8299776896;2;3;AdrianaClaraFerreira@gmail.com;3;10
71;Isabella ;Rondon Pinales;40249566661;1;8293661228;2;2;IsabellaRondonPinales@gmail.com;12;13
72;Maia Ashley;Fortuna Ciprian;40279760445;1;8296105411;2;4;MaiaAshleyFortunaCiprian@gmail.com;21;6
73;María ;Martinez Perez;40213073949;1;8295300570;2;1;MaríaMartinezPerez@gmail.com;23;9
74;Enzo ;Ovalle Mata;40223824280;1;8494201016;1;3;EnzoOvalleMata@gmail.com;25;12
75;Regina ;Mendez ;40290371446;1;8492149693;2;1;ReginaMendez@gmail.com;29;13
76;Emmanuel Emmanuel;Sanchez ;62637742732;2;8491374160;1;1;EmmanuelEmmanuelSanchez@gmail.com;11;4
77;Alexa Delfina;Tejeda Marmolejos;40217445493;1;8296167392;2;3;AlexaDelfinaTejedaMarmolejos@gmail.com;9;2
78;Cristian Bruno;Custodio Cordero;40251778910;1;8292410770;1;2;CristianBrunoCustodioCordero@gmail.com;11;9
79;Clara Ariadna;Delgado Infante;40264149664;1;8497686747;2;2;ClaraAriadnaDelgadoInfante@gmail.com;14;6
80;Joaquín ;Inoa ;40223752314;1;8498814461;1;3;JoaquínInoa@gmail.com;21;9
81;Victoria Danna;Solano Peralta;40237241755;1;8296499628;2;2;VictoriaDannaSolanoPeralta@gmail.com;24;7
82;Lucas ;Herrera ;40256153575;1;8298662009;1;4;LucasHerrera@gmail.com;26;2
83;Luciana ;Moya Capellan;40279672205;1;8494296711;2;5;LucianaMoyaCapellan@gmail.com;15;3
84;María Guadalupe;Jerez ;40273759851;1;8295974157;2;1;MaríaGuadalupeJerez@gmail.com;11;13
85;Maite Amelia;Familia ;40256666315;1;8296139038;2;3;MaiteAmeliaFamilia@gmail.com;14;3
86;Mateo ;Suazo ;40253244924;1;8293405817;1;1;MateoSuazo@gmail.com;4;1
87;Dylan ;Villanueva ;40295907225;1;8492866600;1;4;DylanVillanueva@gmail.com;7;9
88;Jorge ;Estevez ;40229278446;1;8294897438;1;6;JorgeEstevez@gmail.com;4;4
89;Miguel Jerónimo;Maldonado Tejeda;62612445160;2;8295387837;1;4;MiguelJerónimoMaldonadoTejeda@gmail.com;21;2
90;Andrés Sergio;Melo ;62626340281;2;8298973963;1;1;AndrésSergioMelo@gmail.com;9;10
91;Valentino Antonio;Toribio ;62632113522;2;8293923820;1;6;ValentinoAntonioToribio@gmail.com;10;11
92;Gonzalo Lorenzo;Ogando ;40297141768;1;8294101696;1;1;GonzaloLorenzoOgando@gmail.com;31;3
93;Abril Eva;Liriano Santo;40254734986;1;8299826099;2;5;AbrilEvaLirianoSanto@gmail.com;8;4
94;Oliver ;Mendez ;40243953939;1;8298828715;1;5;OliverMendez@gmail.com;14;7
95;Oliver ;Espinosa ;40244252906;1;8296257163;1;6;OliverEspinosa@gmail.com;31;10
96;Constanza ;Familia ;40235595823;1;8494979340;2;4;ConstanzaFamilia@gmail.com;27;14
97;Samue Hugo;Brea Rosario;62614923451;2;8297693092;1;4;SamueHugoBreaRosario@gmail.com;24;3
98;Dylan Juan;Fernandez Volquez;40292126128;1;8293370128;1;6;DylanJuanFernandezVolquez@gmail.com;15;4
99;Ainara ;Ulloa ;40265627295;1;8298674633;2;4;AinaraUlloa@gmail.com;10;2
100;Maximiliano ;Rodriguez Carvajal;40295407496;1;8495941303;1;6;MaximilianoRodriguezCarvajal@gmail.com;11;14
101;Felipe Isaac;Soto ;40242604941;1;8492168307;1;1;FelipeIsaacSoto@gmail.com;8;9
102;Leo ;Herrera ;40277216521;1;8295995308;1;4;LeoHerrera@gmail.com;9;8
103;Alexander Juan;Miranda Paniagua;40232601708;1;8491286885;1;2;AlexanderJuanMirandaPaniagua@gmail.com;26;7
104;Samue Leo;Pena Batista;40269171920;1;8294324356;1;2;SamueLeoPenaBatista@gmail.com;27;14
105;Gonzalo ;Santiago ;40255233658;1;8299514861;1;5;GonzaloSantiago@gmail.com;7;14
106;Daniel ;Ortiz Agramonte;40224433857;1;8498446205;1;3;DanielOrtizAgramonte@gmail.com;21;12
107;Dylan ;Lee ;40240164698;1;8291014945;1;5;DylanLee@gmail.com;2;4
108;Camila Victoria;Estrella ;40276444328;1;8495722293;2;6;CamilaVictoriaEstrella@gmail.com;18;13
109;Ignacio ;Abreu ;40295844177;1;8297780638;1;5;IgnacioAbreu@gmail.com;1;2
110;Clara ;Mercedes Montero;40288829049;1;8496341989;2;1;ClaraMercedesMontero@gmail.com;28;5
111;Santino ;Vasquez ;40277200624;1;8294328170;1;1;SantinoVasquez@gmail.com;3;10
112;Danna Abigail;Amador Castellanos;40235031750;1;8491221038;2;5;DannaAbigailAmadorCastellanos@gmail.com;13;10
113;Mía Valentina;Solano ;40274080561;1;8293627665;2;5;MíaValentinaSolano@gmail.com;30;1
114;Miranda María;Rosa ;40226650443;1;8498121008;2;5;MirandaMaríaRosa@gmail.com;6;2
115;Enzo David;Colon ;40221959505;1;8491388231;1;1;EnzoDavidColon@gmail.com;4;7
116;Irene ;Reyes Tolentino;40245714642;1;8295645793;2;4;IreneReyesTolentino@gmail.com;26;6
117;Josué ;Castellanos ;40211700641;1;8493385166;1;1;JosuéCastellanos@gmail.com;4;10
118;Ana Abigail;Ortega ;40281439748;1;8498901323;2;6;AnaAbigailOrtega@gmail.com;23;12
119;Amalia Natalia;Polanco Luna;40281864624;1;8291582093;2;5;AmaliaNataliaPolancoLuna@gmail.com;2;1
120;Álvaro Alejandro;Concepcion ;40283389306;1;8299502651;1;1;ÁlvaroAlejandroConcepcion@gmail.com;27;13
121;Emiliano Ignacio;Tolentino Lebron;40276960832;1;8292832941;1;2;EmilianoIgnacioTolentinoLebron@gmail.com;18;15
122;Ainhoa ;Peguero Linares;40260486216;1;8496562832;2;4;AinhoaPegueroLinares@gmail.com;4;6
123;Axel ;Carrasco Suriel;40295631658;1;8296131517;1;6;AxelCarrascoSuriel@gmail.com;21;6
124;Aarón ;Vallejo ;40274659526;1;8298931486;1;1;AarónVallejo@gmail.com;23;3
125;Julián Leo;Duarte ;40299409710;1;8295339836;1;4;JuliánLeoDuarte@gmail.com;8;2
126;Sebastián ;Rondon Guzman;40293254741;1;8294025092;1;2;SebastiánRondonGuzman@gmail.com;10;3
127;Martín ;Rijo ;40268745175;1;8294792993;1;4;MartínRijo@gmail.com;28;8
128;Hugo Esteban;Montilla Grullon;40264785603;1;8493732089;1;4;HugoEstebanMontillaGrullon@gmail.com;24;11
129;Lorenzo ;Perez Carrasco;62699473802;2;8295649015;1;6;LorenzoPerezCarrasco@gmail.com;8;14
130;Ángel ;Feliz Mota;40275813154;1;8298698259;1;6;ÁngelFelizMota@gmail.com;3;7
131;Ciro ;Ruiz ;40295424510;1;8495982710;1;3;CiroRuiz@gmail.com;27;11
132;Jorge ;Rosário Cespedes;40294230322;1;8298591286;1;5;JorgeRosárioCespedes@gmail.com;19;8
133;Salvador Luciano;Paredes ;40211432201;1;8293282174;1;6;SalvadorLucianoParedes@gmail.com;30;5
134;Iker ;Rosário ;40265715722;1;8296562879;1;3;IkerRosário@gmail.com;22;2
135;Damián ;Peralta ;40280186900;1;8499101352;1;5;DamiánPeralta@gmail.com;14;13
136;Mario Ciro;Rosado ;40258723374;1;8297691478;1;6;MarioCiroRosado@gmail.com;19;4
137;Mariana Agustina;Miranda Jerez;40288243167;1;8491717943;2;2;MarianaAgustinaMirandaJerez@gmail.com;24;6
138;Miguel ;Meran ;40234374163;1;8499649162;1;2;MiguelMeran@gmail.com;29;12
139;Miguel Rodrigo;Jerez Guerrero;40242025019;1;8294055133;1;6;MiguelRodrigoJerezGuerrero@gmail.com;23;14
140;Sebastián Eric;Mella Piña;40235386858;1;8296832899;1;3;SebastiánEricMellaPiña@gmail.com;11;11
141;Abigail ;Ramirez Balbuena;40250907819;1;8498776362;2;5;AbigailRamirezBalbuena@gmail.com;10;12
142;Javier Felipe;Ogando ;40215631241;1;8497481317;1;6;JavierFelipeOgando@gmail.com;9;14
143;Enzo Sergio;Brea ;40257221919;1;8495692711;1;3;EnzoSergioBrea@gmail.com;3;2
144;Isaac ;Molina ;40278639395;1;8292350864;1;3;IsaacMolina@gmail.com;22;8
145;Elena ;Carvajal ;40290333541;1;8294050859;2;4;ElenaCarvajal@gmail.com;25;15
146;Daniel ;Calderon Javier;40237628844;1;8297763987;1;3;DanielCalderonJavier@gmail.com;23;2
147;Fernanda ;Peña Peralta;40280263667;1;8491476242;2;2;FernandaPeñaPeralta@gmail.com;18;15
148;Salvador ;Soriano ;40220968815;1;8294569107;1;1;SalvadorSoriano@gmail.com;24;7
149;Luciana Romina;Oviedo ;40281605212;1;8293553000;2;4;LucianaRominaOviedo@gmail.com;15;12
150;Emma Paula;Olivo ;40261150751;1;8294728932;2;2;EmmaPaulaOlivo@gmail.com;18;14
151;María Bianca;Salcedo ;40246254581;1;8494289162;2;4;MaríaBiancaSalcedo@gmail.com;26;11
152;Mario ;Marte ;40276299342;1;8492529664;1;4;MarioMarte@gmail.com;28;11
153;Elías Dante;Canela ;40246084651;1;8494493282;1;5;ElíasDanteCanela@gmail.com;11;12
154;Liam Mateo;Volquez Vargas;40233301815;1;8295408276;1;5;LiamMateoVolquezVargas@gmail.com;1;10
155;Alan ;Correa ;40252944224;1;8299419348;1;4;AlanCorrea@gmail.com;8;3
156;Diego ;Rivera ;40223328747;1;8498797188;1;5;DiegoRivera@gmail.com;17;11
157;María ;Nin ;40230156179;1;8497138979;2;2;MaríaNin@gmail.com;11;10
158;Ethan ;Guerra Gutierrez;40210961929;1;8497351408;1;5;EthanGuerraGutierrez@gmail.com;25;14
159;Emiliano Hugo;Moya ;40246072587;1;8499488805;1;1;EmilianoHugoMoya@gmail.com;15;4
160;Elena Emma;Montilla Castellanos;40235309885;1;8495100943;2;5;ElenaEmmaMontillaCastellanos@gmail.com;32;1
161;Zoe ;Ceballos ;40266240385;1;8292251553;2;5;ZoeCeballos@gmail.com;6;14
162;Martina ;Jimenez ;40267606118;1;8297074192;2;4;MartinaJimenez@gmail.com;14;11
163;Francisco ;Ceballos ;40262227583;1;8292993013;1;5;FranciscoCeballos@gmail.com;15;11
164;Alexa ;Guerra Andujar;40279110820;1;8291092902;2;2;AlexaGuerraAndujar@gmail.com;7;14
165;Bianca Juliana;Linares Franco;40233565281;1;8292233810;2;1;BiancaJulianaLinaresFranco@gmail.com;4;5
166;Tomás ;Correa Familia;40250535582;1;8298013694;1;3;TomásCorreaFamilia@gmail.com;1;8
167;Constanza ;Velez Nuez;40285317770;1;8498355493;2;4;ConstanzaVelezNuez@gmail.com;4;8
168;Adriana Samantha;Matos Almanzar;40249060218;1;8294569533;2;3;AdrianaSamanthaMatosAlmanzar@gmail.com;1;13
169;Elena Adriana;Ramirez Espinal;40219491770;1;8499548071;2;6;ElenaAdrianaRamirezEspinal@gmail.com;4;3
170;Eva ;Evangelista ;40221361436;1;8495984666;2;1;EvaEvangelista@gmail.com;24;1
171;Franco Marcos;Sencion Ureña;40283856317;1;8494211793;1;5;FrancoMarcosSencionUreña@gmail.com;18;10
172;Dante ;Jimenez Nova;40287241745;1;8296587416;1;5;DanteJimenezNova@gmail.com;32;12
173;Leonardo Enzo;Amador Peralta;40298846963;1;8491564959;1;3;LeonardoEnzoAmadorPeralta@gmail.com;5;2
174;Juan ;Nunez Gomez;40239144330;1;8299619957;1;5;JuanNunezGomez@gmail.com;20;9
175;Guadalupe Ivanna;Estrella ;40225859341;1;8298914677;2;1;GuadalupeIvannaEstrella@gmail.com;13;14
176;Mario ;Miranda ;40284252645;1;8295431277;1;2;MarioMiranda@gmail.com;11;1
177;Nicole ;Araujo ;40287557000;1;8498237953;2;4;NicoleAraujo@gmail.com;30;3
178;Fernando ;Rondon Lora;40216005423;1;8291833828;1;4;FernandoRondonLora@gmail.com;21;5
179;Leire ;Tejeda Mieses;40290732974;1;8292940424;2;1;LeireTejedaMieses@gmail.com;31;12
180;Mateo ;Ledesma ;40251179698;1;8298829902;1;2;MateoLedesma@gmail.com;17;10
181;Natalia ;Reinoso Santiago;40251308598;1;8296209537;2;1;NataliaReinosoSantiago@gmail.com;7;3
182;Martín ;Fermin ;40283474733;1;8299103618;1;4;MartínFermin@gmail.com;3;7
183;Bruno ;Abreu Martinez;40240827256;1;8494101525;1;4;BrunoAbreuMartinez@gmail.com;27;14
184;Antonella Guadalupe;Martinez Paniagua;40214498661;1;8296712897;2;2;AntonellaGuadalupeMartinezPaniagua@gmail.com;12;15
185;Leire ;Reinoso Lizardo;40270372061;1;8297985750;2;4;LeireReinosoLizardo@gmail.com;26;15
186;Valentino ;Ovalle ;40283374467;1;8299587247;1;2;ValentinoOvalle@gmail.com;23;5
187;Rafael ;Fernandez ;40288691576;1;8299862549;1;5;RafaelFernandez@gmail.com;18;8
188;Luciana ;Baez ;40280825981;1;8291281153;2;2;LucianaBaez@gmail.com;9;7
189;Constanza Alba;Ramirez Valenzuela;40250813459;1;8498929205;2;5;ConstanzaAlbaRamirezValenzuela@gmail.com;6;15
190;Maximiliano ;Pineda Mora;40295302678;1;8493471178;1;1;MaximilianoPinedaMora@gmail.com;17;2
191;Lola ;Mercado ;40277632726;1;8296841722;2;2;LolaMercado@gmail.com;2;7
192;Adrián Marcos;Cabral Ozuna;40281214708;1;8292994489;1;4;AdriánMarcosCabralOzuna@gmail.com;23;5
193;Alan ;Marte Peña;62660700930;2;8298461773;1;2;AlanMartePeña@gmail.com;14;2
194;Florencia ;Acevedo ;40253128746;1;8498763141;2;6;FlorenciaAcevedo@gmail.com;29;13
195;Amelia ;Parra Pichardo;40242932809;1;8495503101;2;3;AmeliaParraPichardo@gmail.com;2;3
196;Valentina ;Bueno ;62616406889;2;8298228308;2;5;ValentinaBueno@gmail.com;5;9
197;Antonella Luciana;Romero Cuello;40292861855;1;8295124113;2;1;AntonellaLucianaRomeroCuello@gmail.com;27;13
198;Thiago ;Rondon ;40293055415;1;8293989028;1;3;ThiagoRondon@gmail.com;9;9
199;Dante ;Montero ;40259454750;1;8495094553;1;2;DanteMontero@gmail.com;32;12
200;Rodrigo ;Flores ;40217949626;1;8494254192;1;5;RodrigoFlores@gmail.com;11;8
201;Máximo Santiago;Pimentel ;40234001001;1;8297697646;1;2;MáximoSantiagoPimentel@gmail.com;14;2
202;Samue Damián;Garrido ;40249552784;1;8494892803;1;5;SamueDamiánGarrido@gmail.com;16;9
203;Martina ;Encarnacion ;40255361285;1;8297749968;2;4;MartinaEncarnacion@gmail.com;9;2
204;Christopher Benjamín;Santana ;40242439747;1;8297843842;1;2;ChristopherBenjamínSantana@gmail.com;21;11
205;Antonio Diego;Ortiz ;40234032444;1;8497198619;1;1;AntonioDiegoOrtiz@gmail.com;4;9
206;Gonzalo ;Perdomo ;40268863854;1;8491607870;1;4;GonzaloPerdomo@gmail.com;29;1
207;Leo Agustín;Alba ;40282453981;1;8292814442;1;2;LeoAgustínAlba@gmail.com;25;1
208;Diego ;Olivo ;40230897521;1;8493650702;1;5;DiegoOlivo@gmail.com;14;6
209;Sergio Pedro;Hernandez ;40266442201;1;8298120161;1;3;SergioPedroHernandez@gmail.com;9;4
210;Olivia ;Delgado Mateo;62683345975;2;8292846192;2;5;OliviaDelgadoMateo@gmail.com;22;6
211;Amalia ;Lorenzo Pujols;40261626265;1;8293781153;2;3;AmaliaLorenzoPujols@gmail.com;11;2
212;Julia ;Collado ;40251297365;1;8499182004;2;1;JuliaCollado@gmail.com;30;14
213;Thiago Thiago;Baez Santiago;40260549467;1;8293574470;1;6;ThiagoThiagoBaezSantiago@gmail.com;14;9
214;Iker Damián;Rosa ;40239845149;1;8496013423;1;3;IkerDamiánRosa@gmail.com;21;10
215;Alicia Guadalupe;Santos ;40227630355;1;8297617247;2;6;AliciaGuadalupeSantos@gmail.com;18;8
216;Renata ;Soto ;40254577993;1;8299822390;2;3;RenataSoto@gmail.com;3;6
217;Lucía Noa;Minaya ;40239414753;1;8292865062;2;2;LucíaNoaMinaya@gmail.com;8;5
218;Rodrigo Juan;Casado Medrano;40259669244;1;8492383588;1;3;RodrigoJuanCasadoMedrano@gmail.com;20;13
219;Elizabeth Constanza;Montilla ;40242276164;1;8292340372;2;3;ElizabethConstanzaMontilla@gmail.com;14;4
220;Guadalupe ;Vicioso ;40252461092;1;8499793931;2;5;GuadalupeVicioso@gmail.com;32;11
221;Lucía Catalina;Jaquez Lebron;40217651082;1;8296270287;2;2;LucíaCatalinaJaquezLebron@gmail.com;8;12
222;Sergio ;Zapata Jaquez;40249512409;1;8297061116;1;2;SergioZapataJaquez@gmail.com;15;4
223;Diego ;Nunez Quezada;40298683663;1;8292637995;1;4;DiegoNunezQuezada@gmail.com;4;12
224;Andrea ;Evangelista Adames;40216795143;1;8492115190;2;5;AndreaEvangelistaAdames@gmail.com;26;13
225;Carolina Maia;Matias Beriguete;40262362885;1;8299169769;2;1;CarolinaMaiaMatiasBeriguete@gmail.com;24;1
226;Bianca Clara;Santiago ;40228954548;1;8498946127;2;1;BiancaClaraSantiago@gmail.com;12;7
227;Luciano Ian;Vargas ;40259503097;1;8494970000;1;4;LucianoIanVargas@gmail.com;6;4
228;Abigail Ariana;Medina ;40292180473;1;8293360156;2;6;AbigailArianaMedina@gmail.com;32;3
229;Esteban Oliver;Moya Castillo;40235881554;1;8297057844;1;5;EstebanOliverMoyaCastillo@gmail.com;12;8
230;Valentino ;Marmolejos Diaz;40292239451;1;8292317937;1;2;ValentinoMarmolejosDiaz@gmail.com;13;6
231;Luciana Luciana;Brea Espinal;40227131719;1;8295876283;2;3;LucianaLucianaBreaEspinal@gmail.com;24;4
232;Andrés Aarón;Linares Mota;40272045209;1;8294169792;1;4;AndrésAarónLinaresMota@gmail.com;21;12
233;Carmen María;Paniagua ;40243325945;1;8291393840;2;5;CarmenMaríaPaniagua@gmail.com;29;8
234;Ciro Felipe;Vega Miranda;40276519804;1;8499166158;1;3;CiroFelipeVegaMiranda@gmail.com;3;13
235;Sebastián ;Hernandez Burgos;40225135493;1;8493973027;1;4;SebastiánHernandezBurgos@gmail.com;21;15
236;Constanza Martina;Mota ;40271826638;1;8499203321;2;1;ConstanzaMartinaMota@gmail.com;22;3
237;Juan ;Valera Espaillat;40261294660;1;8498511018;1;3;JuanValeraEspaillat@gmail.com;19;2
238;Axel ;Herrera ;40214200055;1;8497421156;1;4;AxelHerrera@gmail.com;18;1
239;Juan ;Ferreras Ferreira;40214573837;1;8298099579;1;6;JuanFerrerasFerreira@gmail.com;19;12
240;Salvador ;Matos Lizardo;40212486696;1;8293784749;1;3;SalvadorMatosLizardo@gmail.com;23;13
241;María Lola;Then Lebron;40223233157;1;8298058333;2;2;MaríaLolaThenLebron@gmail.com;14;12
242;Maite ;Terrero ;40213306766;1;8496213033;2;4;MaiteTerrero@gmail.com;14;13
243;Juan Agustín;Espinosa ;40221384926;1;8491228838;1;2;JuanAgustínEspinosa@gmail.com;14;9
244;Ciro Santino;Sanchez Lebron;40249786185;1;8494759702;1;6;CiroSantinoSanchezLebron@gmail.com;28;7
245;Bruno Martín;Marmolejos Andujar;40246920286;1;8493833548;1;4;BrunoMartínMarmolejosAndujar@gmail.com;32;7
246;Alicia ;Rodriguez Rosário;40240604791;1;8494364480;2;5;AliciaRodriguezRosário@gmail.com;32;12
247;Ana Isabella;Suriel ;40263175161;1;8299596747;2;2;AnaIsabellaSuriel@gmail.com;22;2
248;Lorenzo Alexander;Fernandez Lizardo;40259764695;1;8496668676;1;4;LorenzoAlexanderFernandezLizardo@gmail.com;3;9
249;Miguel Iván;Cuevas Cuello;40211972702;1;8499213798;1;5;MiguelIvánCuevasCuello@gmail.com;9;12
250;Ian ;Gonzalez Amador;40271075411;1;8495401717;1;2;IanGonzalezAmador@gmail.com;17;12
251;Natalia ;Peralta ;40281973237;1;8295872944;2;4;NataliaPeralta@gmail.com;4;3
252;Cristóbal ;Vicioso Campusano;40231648879;1;8292294091;1;5;CristóbalViciosoCampusano@gmail.com;10;11
