IdDireccion;Direccion;IdCliente;EsDireccionVivienda
45;Calle Mama Tingo Edif. 144 Apt. 50;31549;0
46;Calle Cuyaya Edif. 59 Apt. 69;32040;0
47;Salvador Estrella Sadhala Edif. 154 Apt. 93;21345;1
48;Cesar N Edif. 105 Apt. 135;9557;0
49;Calle Viento Del Norte Edif. 16 Apt. 122;32599;1
50;Puente A Edif. 51 Apt. 117;30533;0
51;Calle Eva Pellerano Castro Edif. 115 Apt. 81;20554;0
52;Calle Penetracion Edif. 28 Apt. 175;32811;0
53;Calle Emiliano Tejera Edif. 121 Apt. 192;29064;0
54;Pedro A. Lluberes Edif. 82 Apt. 64;17814;0
55;Paseo Principal Edif. 48 Apt. 123;38795;1
56;Marginal Norte Edif. 72 Apt. 92;24918;1
57;Calle José Felieu Edif. 58 Apt. 176;40070;1
58;Jose Paniagua Edif. 14 Apt. 195;40375;0
59;Calle Las Amapolas Edif. 176 Apt. 42;28655;0
60;Cayetano Rodríguez Edif. 31 Apt. 169;335;0
61;Calle Las Marias Edif. 33 Apt. 126;13528;1
62;Calle Sanabacoa Edif. 89 Apt. 23;22674;1
63;Calle Los Cocos Edif. 95 Apt. 44;41079;1
64;Calle Rogelio Minaya Edif. 61 Apt. 115;23035;1
65;Cibao Oeste Edif. 17 Apt. 104;37403;0
66;Calle William Mieses Edif. 119 Apt. 126;24905;0
67;Calle V Edif. 143 Apt. 39;16397;0
68;Respaldo 23 Edif. 9 Apt. 69;35097;1
69;Boulevard De Sans Souci Edif. 78 Apt. 23;40917;0
70;Los Lavados Edif. 9 Apt. 90;36318;0
71;Alberto Rodríguez Urdaneta Edif. 37 Apt. 115;11823;1
72;Zaramagullon Edif. 93 Apt. 48;29604;1
73;Prolongación Fantino Falco Edif. 137 Apt. 124;8880;1
74;Calle Juan Pablo Duarte Edif. 34 Apt. 64;7228;0
75;Los Almendros Edif. 96 Apt. 164;19769;0
76;Diagonal B Edif. 147 Apt. 171;22889;0
77;Calle 15 Edif. 135 Apt. 84;34055;0
78;Manuel Rodríguez Objílo Edif. 170 Apt. 194;28327;1
79;Calle Candelon Edif. 139 Apt. 105;13432;0
80;Parqueo Abel Gonzales Edif. 192 Apt. 30;11891;0
81;Hacia Parqueo Plaza Luperon Edif. 69 Apt. 190;23096;1
82;Calle San Judas Tadeo Edif. 14 Apt. 5;16953;0
83;Calle 47 Edif. 102 Apt. 101;3254;0
84;Calle 6ta Edif. 37 Apt. 7;21264;0
85;Calle Diamante Edif. 121 Apt. 2;36765;0
86;Expreso 27 De Febrero Edif. 177 Apt. 118;6837;0
87;Calle Los Marlins Edif. 47 Apt. 194;32115;0
88;Calle Candelon Edif. 146 Apt. 119;14948;1
89;Callejon Mairení Edif. 94 Apt. 21;22894;0
90;Manuel Rodríguez Objílo Edif. 69 Apt. 164;2946;0
91;Calle Juan A Polanco Edif. 150 Apt. 12;22873;1
92;Calle Manzana 46 Y 38 Edif. 92 Apt. 47;15017;0
93;Respaldo Fernando Valerio Edif. 197 Apt. 167;15872;0
94;Calle Isabel Santana Edif. 37 Apt. 139;13573;1
95;Calle Charles Piet Edif. 146 Apt. 133;39655;1
96;Calle Perla Edif. 114 Apt. 31;21920;1
97;Callejon Mota Edif. 3 Apt. 110;24298;1
98;Calle Cuyaya Edif. 148 Apt. 39;25081;0
99;Alberto Rodríguez Urdaneta Edif. 37 Apt. 46;28005;0
100;Calle De Engombe Edif. 71 Apt. 10;27930;0
101;Calle El Pico Edif. 111 Apt. 87;22956;1
102;Calle Profecia Edif. 46 Apt. 61;26270;0
103;Salida Aviadores Edif. 136 Apt. 154;28521;0
104;Calle Jaycees 72 Edif. 33 Apt. 136;11745;0
105;Avenida Máximo Gómez Edif. 176 Apt. 147;36597;0
106;Calle Florence Terry Griswuld Edif. 39 Apt. 124;366;0
107;Calle Cantera Edif. 10 Apt. 191;32863;0
108;Respaldo F Edif. 109 Apt. 77;35640;0
109;Calle Jonas Salk Edif. 105 Apt. 186;5229;0
110;Calle Oval 2 Edif. 27 Apt. 114;37813;1
111;Begonia Edif. 5 Apt. 103;10517;0
112;Calle Soco Edif. 37 Apt. 66;20980;0
113;Calle 34 Edif. 26 Apt. 12;10459;0
114;S. Luis Edif. 24 Apt. 33;27382;1
115;Calle Duarte Edif. 24 Apt. 89;7695;1
116;Calle Garcia Godoy Edif. 156 Apt. 124;2302;0
117;Calle Rafael J. Castillo Edif. 75 Apt. 42;32834;0
118;Calle Madame Curie Edif. 29 Apt. 45;40321;0
119;Cul De Sac II Edif. 164 Apt. 196;22947;0
120;Calle Mango Edif. 35 Apt. 179;36968;1
121;Calle R Edif. 73 Apt. 135;13399;0
122;Máximo Áviles Blonda Edif. 130 Apt. 33;14454;0
123;Calle Proyecto Edif. 11 Apt. 40;912;0
124;Calle Maireni Edif. 182 Apt. 120;24406;0
125;Esperanza Edif. 71 Apt. 9;4627;1
126;Calle Doña Rogelia Edif. 74 Apt. 76;8101;0
127;Los Lavados Edif. 26 Apt. 67;33212;0
128;Avenida Coronel Rafael Tomás Fernández Domínguez Edif. 104 Apt. 158;18002;0
129;Calle Bacui Edif. 105 Apt. 157;32994;0
130;Rafael Tolentino Edif. 181 Apt. 94;4277;0
131;Calle Francisco Vargas Edif. 15 Apt. 166;30069;0
132;Calle Paseo Del Almendral Edif. 23 Apt. 55;38595;0
133;Avenida Mirador Del Este Edif. 44 Apt. 42;28088;0
134;Calle Laurel Edif. 20 Apt. 44;4556;0
135;Carlos I Edif. 74 Apt. 104;33449;0
136;Calle T Edif. 136 Apt. 157;1781;1
137;Calle Juan De Morfa Edif. 3 Apt. 77;20350;0
138;Boulevard De Sans Souci Edif. 17 Apt. 189;37887;1
139;Calle Trinitaria Edif. 81 Apt. 16;17803;0
140;Interior 4 Edif. 73 Apt. 181;5888;0
141;Calle La Hortaliza Edif. 127 Apt. 148;102;0
142;Calle X Edif. 80 Apt. 174;16219;0
143;Calle Sánchez Edif. 164 Apt. 102;29253;0
144;Calle Asales Edif. 162 Apt. 145;15655;0
145;La Monja Edif. 32 Apt. 92;25211;0
146;Recorrido Alrededor Del Play Edif. 9 Apt. 71;25458;1
147;Las Rolas Edif. 169 Apt. 106;3324;1
148;Entrada Acrópolis Edif. 91 Apt. 172;39790;0
149;Calle Jardines De Fontainebleau Edif. 127 Apt. 70;33868;0
150;Calle Capuccino Edif. 13 Apt. 193;33601;1
151;Calle Roma Edif. 199 Apt. 59;40907;0
152;Callejón Guaricó Edif. 122 Apt. 12;23664;0
153;Calle Colinas Del Seminario I Edif. 191 Apt. 55;2496;1
154;Cibao Oeste Edif. 71 Apt. 67;13178;1
155;Calle José Francisco Peña Gómez Edif. 16 Apt. 180;24492;1
156;Cabañas Madrid Edif. 153 Apt. 20;25038;0
157;Respaldo 14 Edif. 58 Apt. 22;8744;0
158;Calle 34 Edif. 171 Apt. 159;20420;0
159;Residencial Popular Edif. 35 Apt. 3;14640;0
160;Héctor Homero Hernández Edif. 62 Apt. 12;34190;1
161;Calle Mella Edif. 28 Apt. 73;13709;0
162;S. Sosa Edif. 23 Apt. 126;23418;0
163;Calle Piñon Edif. 145 Apt. 151;6922;0
164;Mencia Edif. 123 Apt. 12;17297;0
165;22 Jesus Soto Edif. 54 Apt. 58;14697;0
166;J. Aguilera Edif. 56 Apt. 63;20095;0
167;Calle Peatón Edif. 134 Apt. 43;17593;0
168;Paseo Mirador Sur Edif. 60 Apt. 12;12132;1
169;Avenida Alma Mater Edif. 190 Apt. 193;37698;0
170;Avenida Alma Mater Edif. 143 Apt. 28;11019;0
171;Calle Prolongación Mirador Sur Edif. 184 Apt. 158;4117;0
172;Calle J1 Edif. 152 Apt. 185;24392;0
173;Calle Jazmín Edif. 24 Apt. 190;33726;0
174;Calle El Sol Edif. 72 Apt. 123;15528;0
175;Carlos I Edif. 81 Apt. 79;4743;0
176;Manzana P Edif. 163 Apt. 115;36712;0
177;Calle La Sierra Edif. 35 Apt. 34;25763;0
178;Calle Manzana 46 Edif. 128 Apt. 31;17326;0
179;Manuel Henriquez Edif. 38 Apt. 184;18843;0
180;Calle Esther Rosario Edif. 93 Apt. 97;23364;0
181;Calle Centro Olimpico Edif. 131 Apt. 150;643;0
182;Calle Doña Carmen Edif. 13 Apt. 186;25503;0
183;Respaldo John F. Kennedy Edif. 48 Apt. 154;14267;0
184;Calle 1ra Edif. 65 Apt. 180;15331;0
185;Calle Cayenas Edif. 7 Apt. 91;6465;1
186;Calle Proyecto 3 Edif. 38 Apt. 129;9122;1
187;Calle 6 Edif. 24 Apt. 7;32897;0
188;Calle El Globo Edif. 96 Apt. 197;28707;0
189;Calle Emma Balaguer Edif. 48 Apt. 19;19507;0
190;Calle 4ta Edif. 193 Apt. 167;20772;1
191;3ra Liberacion Edif. 153 Apt. 73;24867;1
192;Calle Gardenias Edif. 96 Apt. 66;31959;1
193;Calle Isabel La Católica Edif. 159 Apt. 112;11196;1
194;Avenida Las Palmas Edif. 199 Apt. 188;15916;0
195;Avenida Rivera Del Caribe Edif. 167 Apt. 3;3484;0
196;Calle Eusebio Manzueta Edif. 31 Apt. 148;23842;1
197;Duvergé Edif. 193 Apt. 47;34501;0
198;Oval 2 Edif. 85 Apt. 40;38720;0
199;Panchito Garcia Edif. 22 Apt. 14;23414;0
200;Calle La Vencida Edif. 68 Apt. 45;21254;0
201;Calle Damasco Edif. 37 Apt. 89;37236;1
202;Respaldo Magalis Estrella Edif. 108 Apt. 105;31313;0
203;Calle Altagracia Henriquez Edif. 5 Apt. 11;22113;0
204;Avenida Primera Edif. 197 Apt. 99;35494;0
205;Cs 1 Edif. 47 Apt. 101;29103;0
206;Canela Edif. 99 Apt. 69;35136;0
207;Calle La Sierra Edif. 137 Apt. 145;6712;0
208;Motel Nuevo Mundo Edif. 52 Apt. 190;9743;0
209;Calle Cardenal Norte Edif. 50 Apt. 73;358;0
210;Calle Maria Digna Vargas Edif. 42 Apt. 63;25567;0
211;Calle Los Manantiales Edif. 61 Apt. 165;1274;1
212;Calle Bacui Edif. 53 Apt. 75;17488;1
213;Calle Buy Edif. 143 Apt. 163;1673;0
214;Calle Sexta Edif. 36 Apt. 85;31417;0
215;Calle 15 Edif. 144 Apt. 87;29152;1
216;Calle Jimenez Moya Edif. 137 Apt. 101;11850;0
217;Calle Abarico Edif. 12 Apt. 71;22568;0
218;Calle X Edif. 26 Apt. 25;25486;1
219;Calle Ángel Severo Cabral Edif. 21 Apt. 101;8501;1
220;Calle Tortola Edif. 53 Apt. 71;7041;0
221;Calle Vientos Alisios Edif. 19 Apt. 110;3634;0
222;Ercilia Pepín Edif. 118 Apt. 160;26026;0
223;Las Eldres Edif. 25 Apt. 42;17949;1
224;Calle Florence Terry Griswuld Edif. 83 Apt. 155;16660;0
225;Calle Rafi Durán Edif. 165 Apt. 17;19851;1
226;J. Aguilera Edif. 139 Apt. 143;13571;1
227;Penetracion Edif. 134 Apt. 7;39929;0
228;Calle Canela Edif. 40 Apt. 56;35886;1
229;Perejil Edif. 22 Apt. 140;36936;0
230;Calle Flor De Aleli Edif. 189 Apt. 82;37078;1
231;Calle T Edif. 151 Apt. 193;17873;0
232;Calle 3a Edif. 20 Apt. 105;25161;0
233;Calle 7 Edif. 60 Apt. 15;28795;0
234;Calle Altamira Edif. 200 Apt. 157;16389;0
235;Sol De Arcoiris Edif. 37 Apt. 79;22371;0
236;Calle Luis Manuel Cáceres (Tunti) Edif. 161 Apt. 183;31143;0
237;Cisne Edif. 197 Apt. 196;29099;0
238;R. Salazar Edif. 117 Apt. 27;10494;0
239;Fdco. De Navarrete Edif. 81 Apt. 154;12459;0
240;Calle José Martí Edif. 33 Apt. 22;20293;1
241;B 4 Edif. 79 Apt. 21;38858;0
242;Calle Nicolas Casimiro Edif. 124 Apt. 166;25626;0
243;Luz Edif. 1 Apt. 50;38972;1
244;Rosendo Alvarez Edif. 141 Apt. 160;22414;0
245;Calle Cristina Peralta Edif. 72 Apt. 77;25209;0
246;Avenida Tiradentes Edif. 186 Apt. 56;36351;0
247;Calle La Trinitaria Edif. 32 Apt. 81;19752;0
248;Calle 1ra Maria Josefina Edif. 143 Apt. 54;3440;0
249;Calle Rafael Perez Edif. 200 Apt. 147;13992;0
250;Calle Luis Sucre Perez Ramirez Edif. 105 Apt. 134;30048;0
251;Circunvalación Edif. 137 Apt. 10;34944;0
252;Calle Manuel Valverde Edif. 108 Apt. 27;36635;0
253;Calle General Domingo Mallol Edif. 162 Apt. 119;41144;0
254;Calle Almendrilla Edif. 11 Apt. 84;32653;0
255;Macedonia 3 Edif. 139 Apt. 199;25095;0
256;Rp. 17a Edif. 146 Apt. 71;9142;0
257;Los Lavados Edif. 194 Apt. 83;20198;1
258;Mexico Edif. 120 Apt. 173;24208;0
259;Juan Pablo Pina Edif. 199 Apt. 86;26664;0
260;Moisés García Edif. 60 Apt. 178;8221;0
261;Calle Paloma Edif. 185 Apt. 173;38349;0
262;Calle Mijo Edif. 170 Apt. 120;35160;0
263;Calle Juan XXI Edif. 17 Apt. 58;23909;0
264;Respaldo Pro-Defensa Edif. 170 Apt. 158;21225;1
265;C.J. Guadalupe Edif. 17 Apt. 117;20808;0
266;Respaldo Francisco Caamaño Edif. 123 Apt. 109;31237;1
267;Manuel Rodríguez Objílo Edif. 177 Apt. 36;29880;1
268;Calle Guaranate Edif. 33 Apt. 187;35870;1
269;Calle Guaranate Edif. 195 Apt. 23;31004;0
270;Paseo De Los Abogados Edif. 153 Apt. 165;16319;0
271;Calle El Valle Edif. 65 Apt. 41;17688;0
272;Calle La Trinitaria Edif. 155 Apt. 101;34849;0
273;Calle Andrés Julio Aybar Edif. 54 Apt. 79;20394;1
274;Calle Doctor Nuñez Y Dominguez Edif. 193 Apt. 130;22640;1
275;Osvaldo Báez Edif. 81 Apt. 177;23149;0
276;Calle T Edif. 61 Apt. 181;34353;1
277;Calle Rafael Ravelo Edif. 17 Apt. 145;29580;0
278;Respaldo 35 Edif. 165 Apt. 38;1348;0
279;Calle Damasco Edif. 127 Apt. 93;27343;0
280;Entrada Acrópolis Edif. 1 Apt. 104;22848;0
281;Calle Las Marias Edif. 22 Apt. 183;39623;0
282;B Edif. 195 Apt. 54;27448;1
283;Calle Fernando Escobar Hurtado Edif. 128 Apt. 84;35566;0
284;La Vigia Edif. 142 Apt. 74;37735;1
285;Avenida Hípica Edif. 187 Apt. 93;27451;0
286;Cebolla Edif. 151 Apt. 86;15421;0
287;Calle Bosque De Viena Edif. 81 Apt. 70;8716;0
288;Greg Luperon Edif. 12 Apt. 172;31403;0
289;Calle Catuay Edif. 60 Apt. 15;21999;0
290;Paseo De La Princesa Edif. 129 Apt. 35;1731;1
291;Calle Juana Saltitopa Edif. 147 Apt. 42;37900;0
292;Calle Emiliano Tejera Edif. 155 Apt. 132;33670;0
293;Manolo Tavarez Justo Edif. 184 Apt. 59;17458;0
294;Calle Duarte Edif. 80 Apt. 98;24156;0
295;Salida Aviadores Edif. 20 Apt. 7;2445;0
296;Minerva Mirabal Edif. 99 Apt. 9;27958;1
297;Calle Félix Mariano Lluberes Edif. 129 Apt. 138;25769;1
298;Diagonal B Edif. 197 Apt. 15;20090;0
299;Figaro V Edif. 140 Apt. 51;11415;0
300;Arco Iris Edif. 43 Apt. 79;41287;0
301;Calle 1ra Edif. 158 Apt. 181;13621;0
302;Tucan Edif. 61 Apt. 32;34961;0
303;Calle Padre Martin Edif. 128 Apt. 114;24441;0
304;Calle Nuevo Sol Edif. 94 Apt. 91;8667;0
305;San Cristóbal Edif. 165 Apt. 122;16259;0
306;Calle Calle D Edif. 28 Apt. 170;19787;1
307;Calle Jimenez Moya Edif. 137 Apt. 183;10946;0
308;Panchito Garcia Edif. 175 Apt. 113;1055;0
309;La Plaza Edif. 131 Apt. 33;32887;0
310;Sub-Marino La Caleta Edif. 188 Apt. 113;1308;0
311;Girasol Edif. 157 Apt. 75;40416;0
312;Respaldo K Edif. 59 Apt. 69;5274;0
313;Los Profesionales Edif. 123 Apt. 96;28709;0
314;Calle Los Coralillos Edif. 196 Apt. 181;24118;0
315;Calle Jardines Encantados Edif. 110 Apt. 175;22186;0
316;Calle Cotubanamá Edif. 135 Apt. 41;1921;0
317;Calle 5ta Edif. 53 Apt. 74;20703;1
318;Calle Edmundo Martinez Edif. 63 Apt. 46;22992;1
319;Calle Rafael Sanzio Edif. 147 Apt. 81;24826;0
320;Calle Guacaganarix Edif. 165 Apt. 53;29378;0
321;Calle Palma Guana Edif. 9 Apt. 100;20428;0
322;Calle Maria Trinidad Sanchez Edif. 168 Apt. 57;1225;0
323;Onix Edif. 177 Apt. 42;720;0
324;Calle Nogal Edif. 143 Apt. 39;24942;0
325;Calle Esther Rosario Edif. 159 Apt. 25;36649;1
326;Calle Primavera Edif. 106 Apt. 67;32414;0
327;Albahaca Edif. 131 Apt. 52;8950;0
328;Calle Sol De Otoño Edif. 61 Apt. 175;41024;1
329;Calle Manzana H Edif. 37 Apt. 29;30235;0
330;Calle Perla Edif. 95 Apt. 134;26487;0
331;Respaldo 27 De Febrero Edif. 129 Apt. 39;4653;0
332;Residencial Pradera Verde Edif. 6 Apt. 84;21381;0
333;Calle 12 Edif. 157 Apt. 111;26981;0
334;Cibao Oeste Edif. 80 Apt. 76;32497;1
335;Calle Nazaret Edif. 87 Apt. 178;37507;1
336;Calle Luis Manuel Cáceres (Tunti) Edif. 135 Apt. 73;17951;0
337;Calle Juan Bautista Perez Edif. 157 Apt. 84;17106;0
338;Avenida Winston Churchill Edif. 91 Apt. 26;16581;0
339;Calle Cigua Calandra Edif. 96 Apt. 72;35817;0
340;Calle Juan De Morfa Edif. 122 Apt. 57;17945;0
341;Penson Edif. 76 Apt. 147;9240;0
342;Calle Caimito Edif. 19 Apt. 140;36464;0
343;Peaton 5 Edif. 175 Apt. 93;40913;0
344;Juan L. Jiménez Edif. 179 Apt. 75;693;0
345;Calle Libertador Edif. 14 Apt. 102;7137;0
346;Calle Secundaria Edif. 93 Apt. 108;2397;0
347;Juan Sánchez Ramírez Edif. 192 Apt. 130;4271;0
348;Calle Joaquin Jenao Edif. 150 Apt. 70;5366;0
349;Calle Rio Grande Edif. 198 Apt. 13;36862;0
350;Calle I Edif. 103 Apt. 64;19304;0
351;Calle Vientos Alisios Edif. 147 Apt. 135;11653;0
352;Calle 22 Edif. 180 Apt. 23;37888;1
353;Calle Sajoma Edif. 13 Apt. 125;12137;1
354;Rp. 17a Edif. 151 Apt. 120;5511;0
355;Cabañas Si O No Edif. 197 Apt. 76;17124;1
356;Calle Joaquin Jenao Edif. 132 Apt. 63;39831;0
357;Calle Juan Luis Franco Bido Edif. 186 Apt. 188;10252;0
358;Calle Vasco Nuñez De Balboa Edif. 85 Apt. 182;28472;0
359;Calle E. Perdomo Edif. 102 Apt. 152;38486;0
360;Avenida Doctor Delgado Edif. 163 Apt. 42;16925;0
361;El Llano Calle 4ta Edif. 63 Apt. 111;21910;0
362;Alberto Beltrán Edif. 35 Apt. 47;26981;0
363;Calle William Mieses Edif. 142 Apt. 108;20830;0
364;Calle Francisco Carias Lavander Edif. 35 Apt. 78;6855;1
365;Respaldo Santa Luisa De Marillac Edif. 27 Apt. 13;33551;1
366;Calle E. Perdomo Edif. 115 Apt. 147;8652;0
367;Calle C Edif. 166 Apt. 173;19629;0
368;Respaldo 14 Edif. 44 Apt. 194;20792;0
369;Calle Licenciado Carlos Sanchez Edif. 149 Apt. 16;18042;0
370;Calle A Edif. 38 Apt. 114;23641;0
371;Calle Los Limones Edif. 23 Apt. 16;6748;0
372;Calle Sol De Colina Edif. 171 Apt. 145;12954;0
373;Calle Yuma Edif. 165 Apt. 77;30853;0
374;Calle Olmos Edif. 48 Apt. 187;32127;1
375;Calle Principal Santo Cerro Edif. 3 Apt. 151;12510;1
376;Calle Alonso De Espinoza Edif. 172 Apt. 168;39965;1
377;Calle San Gabriel Edif. 83 Apt. 61;8801;0
378;Calle Isabel Santana Edif. 89 Apt. 131;21701;0
379;Calle T Edif. 180 Apt. 134;35894;0
380;Calle Vientos Del Sur Edif. 166 Apt. 42;3293;0
381;Guarocuya Edif. 100 Apt. 17;14038;1
382;Brusal Edif. 187 Apt. 82;21543;0
383;Calle Misericordia Edif. 152 Apt. 107;21575;1
384;Respaldo Paloma Edif. 172 Apt. 54;10876;0
385;Mlo T. Justo Edif. 22 Apt. 86;40998;0
386;San Jose Edif. 187 Apt. 122;28082;0
387;Calle Santiago Edif. 171 Apt. 184;13836;0
388;Calle Las Palmas Edif. 139 Apt. 126;38509;0
389;Respaldo Rafael Hernandez Edif. 159 Apt. 124;11379;1
390;Paseo Monte Verde Edif. 4 Apt. 121;2625;0
391;Calle 2da Edif. 103 Apt. 148;28443;0
392;Sanchez Edif. 96 Apt. 2;23317;0
393;Calle Jose Lopez Edif. 47 Apt. 10;7972;0
394;Calle Jose Cabrera Edif. 134 Apt. 93;27202;0
395;Calle Carmen Severino Edif. 2 Apt. 86;785;1
396;Residencial Pradera Verde Edif. 61 Apt. 31;10366;1
397;Calle Manuel E Perdomo Edif. 11 Apt. 177;2563;0
398;General Pedro Maria Mejia Y Cotes Edif. 172 Apt. 177;41074;0
399;Autopista Duarte Edif. 99 Apt. 133;1557;0
400;Calle Penetracion Edif. 184 Apt. 153;32050;0
401;Calle Cantabria Edif. 71 Apt. 181;6877;0
402;B.Colon Edif. 70 Apt. 26;15502;0
403;Respaldo 17 Edif. 26 Apt. 145;9828;1
404;Respaldo Trina Moya Edif. 129 Apt. 51;14201;0
405;Calle Los Corales Edif. 93 Apt. 92;26923;0
406;Calle Los Corales Edif. 72 Apt. 2;9650;0
407;Benito Monción Edif. 5 Apt. 70;16106;1
408;Calle 3a Edif. 176 Apt. 72;6822;0
409;Calle Enrriquillo Edif. 43 Apt. 13;25690;0
410;Avenida José Aybar Castellano Edif. 29 Apt. 108;5829;1
411;Calle Doctor César Dargam Edif. 128 Apt. 113;23978;0
412;Calle Centro Olimpico Edif. 7 Apt. 50;11816;1
413;Lalo Herrera Edif. 124 Apt. 132;1869;1
414;Calle Penetracion Este Edif. 195 Apt. 122;35369;0
415;Calle Arabia Edif. 57 Apt. 116;18462;0
416;Calle Centro Olimpico Edif. 95 Apt. 41;17764;0
417;Calle Cipriana Bencosme Edif. 26 Apt. 85;22047;1
418;Calle Prometeo Edif. 44 Apt. 157;4858;0
419;Calle Caracol Edif. 88 Apt. 154;32226;0
420;Calle 10a Edif. 32 Apt. 115;3087;0
421;Calle Pico Duarte Edif. 30 Apt. 198;33171;0
422;Mella Edif. 192 Apt. 137;41212;0
423;Las Mercedes Edif. 112 Apt. 171;17748;1
424;Calle Fidel Ferrer Edif. 56 Apt. 159;5635;1
425;Los Pinos Oeste Edif. 108 Apt. 122;33898;0
426;Calle El Seminario Edif. 91 Apt. 7;1955;0
427;Callejón Guaricó Edif. 150 Apt. 20;34656;0
428;R. Salazar Edif. 23 Apt. 134;9244;0
429;Avenida La Cordillera Edif. 11 Apt. 46;2624;0
430;B.Colon Edif. 26 Apt. 197;28218;0
431;General Pedro Maria Mejia Y Cotes Edif. 175 Apt. 174;29784;0
432;Calle 19 De Marzo Edif. 198 Apt. 121;6086;0
433;Calle Luis Tejera Edif. 139 Apt. 95;13365;0
434;Rp. Proyecto Edif. 115 Apt. 161;40918;1
435;Mistolin Edif. 101 Apt. 109;40177;0
436;Calle Juan Lockward Edif. 100 Apt. 84;3598;0
437;Calle Dario Gomez Edif. 94 Apt. 145;21006;0
438;Cul De Sac II Edif. 50 Apt. 143;21484;0
439;Calle Principal Santo Cerro Edif. 131 Apt. 77;28681;0
440;Avenida Tiradentes Edif. 172 Apt. 25;18536;0
441;Calle Cesar Augusto Sandino Edif. 183 Apt. 60;34585;0
442;Calle 17 Bohechio Edif. 93 Apt. 183;23087;0
443;Res. Sauce Edif. 5 Apt. 3;40504;0
444;Calle Marginal Rómulo Betancourt Edif. 56 Apt. 161;28194;0
445;Calle Sol De Colina Edif. 96 Apt. 33;32683;0
446;Calle Damasco Edif. 88 Apt. 136;20970;0
447;Calle Joaquin Jenao Edif. 2 Apt. 169;23466;0
448;Calle Guayabal Edif. 145 Apt. 30;22204;0
449;Calle Elila Mena Edif. 64 Apt. 5;5828;0
450;Avenida Isabel Aguiar Edif. 137 Apt. 75;35046;1
451;Calle Sanchez Edif. 158 Apt. 157;19058;1
452;Alberto Beltrán Edif. 23 Apt. 169;8571;0
453;Calle Interior Rosa Duarte Edif. 34 Apt. 198;32595;1
454;S. Sosa Edif. 173 Apt. 38;12959;1
455;Calle Fernando Manuel Castillo Edif. 124 Apt. 173;13334;0
456;Calle 29 Oeste Edif. 5 Apt. 174;38997;1
457;Rp. 34 Edif. 6 Apt. 42;22080;0
458;Calle Porfirio Cordero Edif. 100 Apt. 103;3029;0
459;Calle De Dios Edif. 1 Apt. 107;31507;0
460;Calle 36a Edif. 197 Apt. 140;19820;0
461;Calle Bayacan Edif. 185 Apt. 86;29852;0
462;La Cañada Edif. 93 Apt. 146;2432;0
463;Calle Lucia Pichardo Edif. 154 Apt. 34;5352;0
464;Altagracia 2da Edif. 126 Apt. 172;2207;0
465;Calle Manuel Rueda Gonzales Edif. 200 Apt. 27;31678;1
